Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-01-31,2426.09,2443.84,2279.64,2355.89,478146289
2014-02-28,2360.19,2526.9,2334.5,2518.53,434963570
2014-03-31,2427.93,2467.11,2299.01,2462.47,552558488
2014-04-30,2459.7,2485.33,2395.09,2439.09,401735476
2014-05-31,2435.2,2487.77,2371.56,2429.51,371966368
2014-06-30,2438.21,2505.3,2396.91,2408.81,363073014
2014-07-31,2408.97,2416.19,2317.21,2320.85,396457615
2014-08-31,2325.31,2479.74,2299.13,2416.97,401251021
2014-09-30,2426.98,2559.94,2424.54,2500.29,402070079
2014-10-31,2490.44,2504.53,2353.01,2463.68,483847745
2014-11-30,2462.13,2476.12,2385.14,2416.93,314823110
2014-12-31,2404.3,2460.39,2248.15,2315.94,538039105
2015-01-31,2323.3,2376.33,2225.93,2341,445962383
2015-02-28,2344.22,2371.42,2307.78,2367.1,405808694
2015-03-31,2371.78,2414.78,2297.37,2395.94,487644617
2015-04-30,2390.61,2558.58,2388.15,2514.63,452141549
2015-05-31,2519.97,2555.79,2437.81,2437.81,397610563
2015-06-30,2441.39,2449.64,2246.47,2317.84,404693721
2015-07-31,2320.06,2334.15,2158.69,2227.51,416210842
2015-08-31,2221.27,2258.62,2014.69,2163.71,502780796
2015-09-30,2149,2202.05,2008.92,2066.37,497609742
2015-10-31,2074.84,2152.93,2025.98,2060.03,528672744
2015-11-30,2061.56,2083.74,1919.88,1925.72,501605975
2015-12-31,1930.2,1944.65,1745.97,1859.15,634740656
2016-01-31,1832.4,1832.4,1657.43,1780.25,542009928
2016-02-29,1781.67,1881.08,1726.09,1824.08,532748810
2016-03-31,1826.93,1999.93,1796.24,1997.69,636723750
2016-04-30,1985.37,1988.78,1875.46,1896.64,416281495
2016-05-31,1898.93,1914.12,1789.92,1808.24,452739761
2016-06-30,1809.97,1853.71,1641.85,1750.69,666307335
2016-07-31,1756.47,1819.01,1686.81,1759.74,530160888
2016-08-31,1760.37,1869.53,1749.18,1793.56,473920338
2016-09-30,1796.61,1818.94,1709.51,1709.51,581844286
2016-10-31,1713.16,1831.49,1711.02,1814.66,563585597
2016-11-30,1804.87,1831.76,1717.55,1798.22,645886238
2016-12-31,1802.89,1957.17,1777.56,1947.92,648383946
2017-01-31,1947.54,2101.66,1937.24,2056.83,521498280
2017-02-28,2065.94,2272.01,2060.17,2191.25,601380134
2017-03-31,2195.25,2308.92,2167.04,2175.96,629156759
2017-04-30,2188.57,2399.24,2188.57,2376.87,403341078
2017-05-31,2381.68,2422.31,2263.06,2281.18,515423280
2017-06-30,2283.62,2355.79,2257.98,2299.8,455630392
2017-07-31,2305.25,2388.25,2288.76,2374.17,413073523
2017-08-31,2377.03,2537.24,2338.6,2516.26,440850077
2017-09-30,2512.46,2550.74,2422.97,2453.46,386979512
2017-10-31,2459.84,2566.02,2439.73,2524.9,421100652
2017-11-30,2524.52,2566.59,2408.69,2408.69,409261471
2017-12-31,2411.13,2484.41,2370.52,2461.21,375950880
2018-01-31,2463.26,2650.16,2430.69,2553.81,431205421
2018-02-28,2558.83,2580.23,2364.32,2364.32,397783091
2018-03-31,2361.73,2380.48,2192.91,2210.38,508720417
2018-04-30,2211.17,2341.94,2197.99,2291.87,385693568
2018-05-31,2291.87,2333.07,2151.5,2157.07,588833107
2018-06-30,2158,2287.02,2096.93,2135.47,456412767
2018-07-31,2119.7,2327.77,2097.76,2302.13,350830183
2018-08-31,2304.04,2395.77,2217.74,2337.96,395138072
2018-09-30,2340.08,2377.02,2209.37,2285.11,598766151
2018-10-31,2290.8,2320.98,2082.77,2151.88,463946166
2018-11-30,2169.62,2303.37,2137.46,2291.08,469819486
2018-12-31,2310.75,2355.29,2221.37,2276.63,511311877
2019-01-31,2275.35,2420.94,2243.05,2380.11,518212960
2019-02-28,2380.44,2420.4,2313.83,2332.23,366137907
2019-03-31,2339.97,2365.96,2286.94,2312.09,430274968
2019-04-30,2325.38,2413.5,2323.73,2334.21,377005971
2019-05-31,2337.12,2337.12,2152.99,2239.31,484600760
2019-06-30,2239.12,2347.62,2219.94,2327.67,533779527
2019-07-31,2338.98,2363.21,2263.61,2277.37,535809693
2019-08-31,2273.24,2280.8,2044.86,2135.25,501033168
2019-09-30,2138.35,2217.84,2088.88,2173.29,464914985
2019-10-31,2175.98,2236.95,2076.45,2194.1,435753357
2019-11-30,2208.61,2279.64,2154.94,2158.94,445920888
2019-12-31,2163.48,2168.85,2034.48,2150.09,454729984
2020-01-31,2161.55,2200.57,2052.68,2065.9,461155352
2020-02-29,2062.33,2138.87,1735.37,1768.91,501858740
2020-03-31,1807.25,1906.87,1248.77,1512.84,1095945723
2020-04-30,1495.43,1682.13,1464.86,1648.68,838631375
2020-05-31,1630.24,1763.02,1559.06,1722.65,621058102
2020-06-30,1733.13,1856.66,1722.5,1758.82,1183797292
2020-07-31,1760.72,1884.22,1739.93,1767.54,671274606
2020-08-31,1769.31,1881.46,1768.56,1800.21,365229286
2020-09-30,1803.77,1807.77,1657.57,1712.73,638151012
2020-10-31,1719.55,1749.28,1496.76,1515.97,638388999
2020-11-30,1526.2,1873.96,1526.2,1830.04,717988720
2020-12-31,1844.33,2033.03,1844.33,1983.98,661609370
2021-01-31,1994.28,2100.33,1885.24,1948.01,596482759
2021-02-28,1960.96,2022.16,1888.55,1907.28,517463893
2021-03-31,1925.94,2029.17,1868.06,1938.84,712829650
2021-04-30,1942.53,2081.94,1937.14,2037.59,592713553
2021-05-31,2046.24,2250.45,1999.81,2233.36,564156235
2021-06-30,2234.87,2293.02,2189.24,2218.41,461313815
2021-07-31,2223.84,2292.49,2196.01,2253.45,366320856
2021-08-31,2261.61,2379.63,2240.78,2368.03,328675981
2021-09-30,2367.66,2416.38,2259.28,2310.29,456703232
2021-10-31,2299.01,2478.55,2284.34,2405.05,521274528
2021-11-30,2411.73,2449.64,2118.81,2194.37,570474344
2021-12-31,2205.85,2266.92,2144.3,2266.92,524626293
2022-01-31,2272.18,2429.03,2153.81,2209.62,571597578
2022-02-28,2219.99,2262.18,1781.02,1999.88,620684619
2022-03-31,2006.15,2187.85,1860.1,2133.05,965676456
2022-04-30,2143.61,2181.17,1850.37,1858.12,439395404
2022-05-31,1854.26,1862.95,1652.3,1842.93,612270496.30189
2022-06-30,1846.59,1851.34,1653.8,1695.97,418945794
2022-07-31,1690.71,1742.95,1601.32,1721.11,467498724
2022-08-31,1723.75,1763.25,1513.5,1528.22,497610744
2022-09-30,1522.52,1573.05,1366.25,1377.91,575539780
2022-10-31,1379.8,1536.28,1337.71,1536.28,565505577
2022-11-30,1545.19,1784.76,1538.04,1736.26,591049430
2022-12-31,1754.83,1803.6,1714.22,1792.01,347042668
2023-01-31,1794.52,1955.44,1786.7,1902.25,465814933
2023-02-28,1903.59,1919.26,1786.67,1847.94,315577577
2023-03-31,1855.26,1883.31,1626.01,1758.56,410850098
2023-04-30,1764.92,1954.79,1749,1923.09,271031229
2023-05-31,1921.51,2026.29,1879.78,1894.48,357604473
2023-06-30,1902.02,2131.03,1902.02,2060.38,387375839
2023-07-31,2056.7,2202.3,1989.66,2193.56,298868919
2023-08-31,2193.35,2193.77,1986.05,2027.38,295854872
2023-09-30,2024.89,2062.39,1873.38,1915.6,391033434
2023-10-31,1917.3,2169.08,1843.38,2149.73,565151322
2023-11-30,2163.79,2269.24,2130.08,2215.25,438732915
2023-12-31,2215.16,2380.55,2215.16,2342.99,358376551
2024-01-31,2344.1,2350.52,2161.56,2279.86,356016217
2024-02-29,2271.04,2494.74,2255.25,2418.1,397004470
