Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-01,0.82,0.836,0.81,0.834,21417
2023-09-04,0.814,0.834,0.8,0.824,40528
2023-09-05,0.81,0.846,0.81,0.84,48594
2023-09-06,0.84,0.844,0.818,0.838,34771
2023-09-07,0.838,0.842,0.822,0.842,21249
2023-09-08,0.844,0.85,0.824,0.848,51327
2023-09-11,0.868,1.02,0.84,0.948,469471
2023-09-12,0.962,0.962,0.904,0.936,133129
2023-09-13,0.936,0.936,0.86,0.896,125334
2023-09-14,0.894,0.894,0.864,0.892,12944
2023-09-15,0.888,0.9,0.866,0.898,29703
2023-09-18,0.898,0.98,0.898,0.95,137640
2023-09-19,0.96,1,0.92,0.95,107917
2023-09-20,0.95,0.958,0.93,0.95,34416
2023-09-21,0.934,0.95,0.904,0.93,12351
2023-09-22,0.928,0.934,0.906,0.934,5106
2023-09-25,0.934,0.938,0.908,0.91,18218
2023-09-26,0.91,0.936,0.9,0.934,29315
2023-09-27,0.906,0.928,0.86,0.924,61461
2023-09-28,0.9,0.926,0.886,0.914,21892
2023-09-29,0.892,0.934,0.87,0.926,38171
2023-10-02,0.9,0.932,0.9,0.932,68369
2023-10-03,0.93,0.93,0.84,0.85,96860
2023-10-04,0.85,0.85,0.81,0.83,87622
2023-10-05,0.872,0.896,0.822,0.848,136273
2023-10-06,0.822,0.844,0.804,0.838,66870
2023-10-09,0.838,0.838,0.81,0.838,19997
2023-10-10,0.842,0.876,0.82,0.86,27648
2023-10-11,0.822,0.848,0.822,0.846,7304
2023-10-12,0.846,0.846,0.812,0.834,25886
2023-10-13,0.82,0.896,0.804,0.844,183337
2023-10-16,0.844,0.92,0.844,0.9,311524
2023-10-17,0.868,0.912,0.862,0.898,139289
2023-10-18,0.864,0.918,0.864,0.902,126802
2023-10-19,0.9,0.922,0.866,0.92,121941
2023-10-20,0.93,0.986,0.922,0.96,401549
2023-10-23,0.976,1.15,0.92,1.095,5833787
2023-10-24,1.065,1.13,0.96,0.982,1637272
2023-10-25,0.99,0.99,0.93,0.96,183591
2023-10-26,0.96,0.968,0.94,0.964,38817
2023-10-27,0.964,0.984,0.94,0.984,53547
2023-10-30,0.99,1.015,0.962,0.968,27457
2023-10-31,0.98,1.02,0.902,0.952,210590
2023-11-02,0.952,1,0.94,0.99,109170
2023-11-03,0.99,1.04,0.97,0.992,180950
2023-11-06,0.976,1.03,0.976,1.015,34429
2023-11-07,0.992,1.025,0.92,0.94,211044
2023-11-08,0.94,0.976,0.91,0.918,137304
2023-11-09,0.906,0.946,0.9,0.94,79778
2023-11-10,0.936,0.954,0.928,0.95,29484
2023-11-13,0.956,0.956,0.914,0.942,24803
2023-11-14,0.922,0.942,0.916,0.936,27141
2023-11-15,0.926,0.942,0.916,0.938,22210
2023-11-16,0.936,0.936,0.898,0.92,42256
2023-11-17,0.918,0.918,0.834,0.892,322781
2023-11-20,0.892,0.902,0.87,0.902,66512
2023-11-21,0.876,0.908,0.874,0.888,27343
2023-11-22,0.886,0.902,0.868,0.9,50911
2023-11-23,0.908,0.91,0.87,0.888,61400
2023-11-24,0.888,0.89,0.86,0.886,24767
2023-11-27,0.864,0.9,0.862,0.884,49773
2023-11-28,0.884,0.892,0.86,0.89,13083
