Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,5318.74,5318.74,5258.66,5288.6,68868704
2018-01-03,5295.31,5347.63,5291.89,5331.28,77702848
2018-01-04,5360.01,5430.72,5360.01,5413.69,95446872
2018-01-05,5424.16,5470.75,5422.78,5470.75,78634776
2018-01-08,5483.47,5499.15,5478.92,5487.42,74554552
2018-01-09,5491.91,5525.67,5491.91,5523.94,81283408
2018-01-10,5518.32,5529.3,5487.56,5504.68,99462184
2018-01-11,5514.09,5516.59,5478.97,5488.55,86128208
2018-01-12,5502.63,5520.18,5486.09,5517.06,83296080
2018-01-15,5515.55,5525.01,5501.28,5509.69,57953568
2018-01-16,5513.7,5535.95,5500.22,5513.82,71569096
2018-01-17,5496.26,5518.39,5485.02,5493.99,74991320
2018-01-18,5511.3,5515.16,5474.11,5494.83,84623184
2018-01-19,5493.99,5528.89,5490.32,5526.51,80892976
2018-01-22,5520.21,5543.06,5512.27,5541.99,79815704
2018-01-23,5563.56,5567.03,5521.83,5535.26,88461416
2018-01-24,5532.85,5538.58,5495.16,5495.16,87854968
2018-01-25,5493.81,5525.76,5456.05,5481.21,87426088
2018-01-26,5496.83,5539.77,5493.66,5529.15,67410648
2018-01-29,5534.14,5537.53,5517.67,5521.59,61971548
2018-01-30,5493.93,5518.94,5464.85,5473.78,82559912
2018-01-31,5483.51,5496.78,5471.18,5481.93,86146864
2018-02-01,5510.59,5529.4,5432.59,5454.55,89815680
2018-02-02,5433.84,5437.26,5364.98,5364.98,102383840
2018-02-05,5322.94,5332.77,5283.27,5285.83,99702952
2018-02-06,5104.28,5226.13,5101.15,5161.81,180782240
2018-02-07,5208.11,5267.88,5169.4,5255.9,121396888
2018-02-08,5229.78,5248.44,5129.52,5151.68,127811920
2018-02-09,5133.46,5155.87,5051.21,5079.21,147463840
2018-02-12,5130.4,5165.75,5113.82,5140.06,96857752
2018-02-13,5136.09,5155.22,5109.24,5109.24,81435984
2018-02-14,5137.57,5188.14,5081.62,5165.26,113108360
2018-02-15,5211.71,5255.08,5204.44,5222.52,100304560
2018-02-16,5249.42,5291.48,5245.8,5281.58,104313128
2018-02-19,5295.33,5297.37,5249.89,5256.18,53039128
2018-02-20,5257.43,5291.81,5249.85,5289.86,78043312
2018-02-21,5278.48,5303.81,5255.77,5302.17,75201384
2018-02-22,5272.43,5321.19,5253.2,5309.23,90235296
2018-02-23,5312.3,5322.35,5292.7,5317.37,70606656
2018-02-26,5343.57,5357.36,5329.51,5344.26,69982240
2018-02-27,5358.57,5363.52,5329.79,5343.93,78596952
2018-02-28,5321.5,5357.06,5312.62,5320.49,86997680
2018-03-01,5304.81,5315.77,5242.87,5262.56,116245120
2018-03-02,5223.14,5226.11,5121.24,5136.58,121267816
2018-03-05,5116.39,5176.52,5115.94,5167.23,124682240
2018-03-06,5203.11,5216.6,5170.14,5170.23,93287840
2018-03-07,5151.69,5203.06,5134.51,5187.83,96340768
2018-03-08,5189.14,5264.36,5186.28,5254.1,95669528
2018-03-09,5243.09,5293.08,5241.51,5274.4,77835496
2018-03-12,5298.22,5302.42,5258.11,5276.71,66055808
2018-03-13,5284.84,5311.66,5225.27,5242.79,89705168
2018-03-14,5237.75,5272.72,5224.31,5233.36,75894808
2018-03-15,5252.22,5274.94,5235.94,5267.26,84991016
2018-03-16,5259.36,5299.23,5258.51,5282.75,154906672
2018-03-19,5263.39,5265.44,5210.07,5222.84,79297912
2018-03-20,5232.12,5255.1,5208.51,5252.43,68498104
2018-03-21,5252.78,5257.24,5220.26,5239.74,71361192
2018-03-22,5205.17,5231.17,5119.29,5167.21,107550176
2018-03-23,5115.82,5128.71,5059.67,5095.22,105530896
2018-03-26,5106.34,5126.99,5043.27,5066.28,86186536
